Number,Name,Type 1,Type 2,Abilities,HP,Att,Def,Spa,Spd,Spe,BST,Mean,Standard Deviation,Generation,Experience type,Experience to level 100,Final Evolution,Catch Rate,Legendary,Mega Evolution,Alolan Form,Galarian Form,Against Normal,Against Fire,Against Water,Against Electric,Against Grass,Against Ice,Against Fighting,Against Poison,Against Ground,Against Flying,Against Psychic,Against Bug,Against Rock,Against Ghost,Against Dragon,Against Dark,Against Steel,Against Fairy
436,Bronzor,Steel,Psychic,"['Heatproof', 'Heavy Metal', 'Levitate']",57,24,86,24,86,23,300,50,28.05352028,4,Medium Fast,1000000,0,255,0,0,0,0,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,2,0.5,2,0.5,0.5
437,Bronzong,Steel,Psychic,"['Heatproof', 'Heavy Metal', 'Levitate']",67,89,116,79,116,33,500,83.33333333,28.82514335,4,Medium Fast,1000000,1,90,0,0,0,0,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,2,0.5,2,0.5,0.5
438,Bonsly,Rock,,"['Rattled', 'Rock Head', 'Sturdy']",50,80,95,10,45,10,290,48.33333333,31.97221016,4,Medium Fast,1000000,0,255,0,0,0,0,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1
439,Mime Jr.,Psychic,Fairy,"['Filter', 'Soundproof', 'Technician']",20,25,45,70,90,60,310,51.66666667,24.60803843,4,Medium Fast,1000000,0,145,0,0,0,0,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
440,Happiny,Normal,,"['Friend Guard', 'Natural Cure', 'Serene Grace']",100,5,5,15,65,30,220,36.66666667,34.96029494,4,Fast,800000,0,130,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
441,Chatot,Normal,Flying,"['Big Pecks', 'Keen Eye', 'Tangled Feet']",76,65,45,92,42,91,411,68.5,19.92276755,4,Medium Slow,1059860,1,30,0,0,0,0,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
442,Spiritomb,Ghost,Dark,"['Infiltrator', 'Pressure']",50,92,108,92,108,35,485,80.83333333,28.21593325,4,Medium Fast,1000000,1,100,0,0,0,0,0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2
443,Gible,Dragon,Ground,"['Rough Skin', 'Sand Veil']",58,70,45,40,45,42,300,50,10.63014581,4,Slow,1250000,0,45,0,0,0,0,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2
444,Gabite,Dragon,Ground,"['Rough Skin', 'Sand Veil']",68,90,65,50,55,82,410,68.33333333,14.03171012,4,Slow,1250000,0,45,0,0,0,0,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2
445,Garchomp,Dragon,Ground,"['Rough Skin', 'Sand Veil']",108,130,95,80,85,102,600,100,16.42153058,4,Slow,1250000,1,45,0,0,0,0,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2
445,Mega Garchomp,Dragon,Ground,['Sand Force'],108,170,115,120,95,92,700,116.6666667,25.85644128,6,Slow,1250000,1,45,0,1,0,0,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2
446,Munchlax,Normal,,"['Gluttony', 'Pickup', 'Thick Fat']",135,85,40,40,85,5,390,65,41.93248542,4,Slow,1250000,0,50,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
447,Riolu,Fighting,,"['Inner Focus', 'Prankster', 'Steadfast']",40,70,40,35,40,60,285,47.5,12.8290036,4,Medium Slow,1059860,0,75,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
448,Lucario,Fighting,Steel,"['Inner Focus', 'Justified', 'Steadfast']",70,110,70,115,70,90,525,87.5,19.0940654,4,Medium Slow,1059860,1,45,0,0,0,0,0.5,2,1,1,0.5,0.5,2,0,2,1,1,0.25,0.25,1,0.5,0.5,0.5,1
448,Mega Lucario,Fighting,Steel,['Adaptability'],70,145,88,140,70,112,625,104.1666667,30.57459003,6,Medium Slow,1059860,1,45,0,1,0,0,0.5,2,1,1,0.5,0.5,2,0,2,1,1,0.25,0.25,1,0.5,0.5,0.5,1
449,Hippopotas,Ground,,"['Sand Force', 'Sand Stream']",68,72,78,38,42,32,330,55,18.13835715,4,Slow,1250000,0,140,0,0,0,0,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
450,Hippowdon,Ground,,"['Sand Force', 'Sand Stream']",108,112,118,68,72,47,525,87.5,26.49370995,4,Slow,1250000,1,60,0,0,0,0,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
451,Skorupi,Poison,Bug,"['Battle Armor', 'Keen Eye', 'Sniper']",40,50,90,30,55,65,330,55,19.14854216,4,Slow,1250000,0,120,0,0,0,0,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
452,Drapion,Poison,Dark,"['Battle Armor', 'Keen Eye', 'Sniper']",70,90,110,60,75,95,500,83.33333333,16.7497927,4,Slow,1250000,1,45,0,0,0,0,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1
453,Croagunk,Poison,Fighting,"['Anticipation', 'Dry Skin', 'Poison Touch']",48,61,40,61,40,50,300,50,8.621678104,4,Medium Fast,1000000,0,140,0,0,0,0,1,1,1,1,0.5,1,0.5,0.5,2,2,4,0.25,0.5,1,1,0.5,1,1
454,Toxicroak,Poison,Fighting,"['Anticipation', 'Dry Skin', 'Poison Touch']",83,106,65,86,65,85,490,81.66666667,14.01982723,4,Medium Fast,1000000,1,75,0,0,0,0,1,1,1,1,0.5,1,0.5,0.5,2,2,4,0.25,0.5,1,1,0.5,1,1
455,Carnivine,Grass,,['Levitate'],74,100,72,90,72,46,454,75.66666667,16.86877457,4,Slow,1250000,1,200,0,0,0,0,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
456,Finneon,Water,,"['Storm Drain', 'Swift Swim', 'Water Veil']",49,49,56,49,61,66,330,55,6.658328118,4,Erratic,600000,0,190,0,0,0,0,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
457,Lumineon,Water,,"['Storm Drain', 'Swift Swim', 'Water Veil']",69,69,76,69,86,91,460,76.66666667,8.844332774,4,Erratic,600000,1,75,0,0,0,0,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
458,Mantyke,Water,Flying,"['Swift Swim', 'Water Absorb', 'Water Veil']",45,20,50,60,120,50,345,57.5,30.51638904,4,Slow,1250000,0,25,0,0,0,0,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
459,Snover,Grass,Ice,"['Snow Warning', 'Soundproof']",60,62,50,62,60,40,334,55.66666667,8.117197108,4,Slow,1250000,0,120,0,0,0,0,1,4,0.5,0.5,0.5,1,2,2,0.5,2,1,2,2,1,1,1,2,1
460,Abomasnow,Grass,Ice,"['Snow Warning', 'Soundproof']",90,92,75,92,85,60,494,82.33333333,11.58543146,4,Slow,1250000,1,60,0,0,0,0,1,4,0.5,0.5,0.5,1,2,2,0.5,2,1,2,2,1,1,1,2,1
460,Mega Abomasnow,Grass,Ice,['Snow Warning'],90,132,105,132,105,30,594,99,34.38022688,6,Slow,1250000,1,60,0,1,0,0,1,4,0.5,0.5,0.5,1,2,2,0.5,2,1,2,2,1,1,1,2,1
461,Weavile,Dark,Ice,"['Pickpocket', 'Pressure']",70,120,65,45,85,125,510,85,29.01149198,4,Medium Slow,1059860,1,45,0,0,0,0,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2
462,Magnezone,Electric,Steel,"['Analytic', 'Magnet Pull', 'Sturdy']",70,70,115,130,90,60,535,89.16666667,25.56310275,4,Medium Fast,1000000,1,30,0,0,0,0,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5
463,Lickilicky,Normal,,"['Cloud Nine', 'Oblivious', 'Own Tempo']",110,85,95,80,95,50,515,85.83333333,18.57791401,4,Medium Fast,1000000,1,30,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
464,Rhyperior,Ground,Rock,"['Lightning Rod', 'Reckless', 'Solid Rock']",115,140,130,55,55,40,535,89.16666667,40.14729823,4,Slow,1250000,1,30,0,0,0,0,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
465,Tangrowth,Grass,,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",100,100,125,110,50,50,535,89.16666667,28.9275916,4,Medium Fast,1000000,1,30,0,0,0,0,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
466,Electivire,Electric,,"['Motor Drive', 'Vital Spirit']",75,123,67,95,85,95,540,90,17.87922444,4,Medium Fast,1000000,1,30,0,0,0,0,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
467,Magmortar,Fire,,"['Flame Body', 'Vital Spirit']",75,95,67,125,95,83,540,90,18.61003314,4,Medium Fast,1000000,1,30,0,0,0,0,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
468,Togekiss,Fairy,Flying,"['Hustle', 'Serene Grace', 'Super Luck']",85,50,95,120,115,80,545,90.83333333,23.34820954,4,Fast,800000,1,30,0,0,0,0,1,1,1,2,0.5,2,0.25,2,0,1,1,0.25,2,1,0,0.5,2,1
469,Yanmega,Bug,Flying,"['Frisk', 'Speed Boost', 'Tinted Lens']",86,76,86,116,56,95,515,85.83333333,18.16972451,4,Medium Fast,1000000,1,30,0,0,0,0,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
470,Leafeon,Grass,,"['Chlorophyll', 'Leaf Guard']",65,110,130,60,65,95,525,87.5,26.25991876,4,Medium Fast,1000000,1,45,0,0,0,0,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
471,Glaceon,Ice,,"['Ice Body', 'Snow Cloak']",65,60,110,130,95,65,525,87.5,26.25991876,4,Medium Fast,1000000,1,45,0,0,0,0,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1
472,Gliscor,Ground,Flying,"['Hyper Cutter', 'Poison Heal', 'Sand Veil']",75,95,125,45,75,95,510,85,24.49489743,4,Medium Slow,1059860,1,30,0,0,0,0,1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1
473,Mamoswine,Ice,Ground,"['Oblivious', 'Snow Cloak', 'Thick Fat']",110,130,80,70,60,80,530,88.33333333,24.09472049,4,Slow,1250000,1,50,0,0,0,0,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1
474,Porygon-Z,Normal,,"['Adaptability', 'Analytic', 'Download']",85,80,70,135,75,90,535,89.16666667,21.4896616,4,Medium Fast,1000000,1,30,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
475,Gallade,Psychic,Fighting,"['Justified', 'Steadfast']",68,125,65,65,115,80,518,86.33333333,24.50623503,4,Slow,1250000,1,45,0,0,0,0,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2
475,Mega Gallade,Psychic,Fighting,['Inner Focus'],68,165,95,65,115,110,618,103,33.59067331,6,Slow,1250000,1,45,0,1,0,0,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2
476,Probopass,Rock,Steel,"['Magnet Pull', 'Sand Force', 'Sturdy']",60,55,145,75,150,40,525,87.5,43.66062299,4,Medium Fast,1000000,1,60,0,0,0,0,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5
477,Dusknoir,Ghost,,"['Frisk', 'Pressure']",45,100,135,65,135,45,525,87.5,38.26987501,4,Fast,800000,1,45,0,0,0,0,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1
478,Froslass,Ice,Ghost,"['Cursed Body', 'Snow Cloak']",70,80,70,80,70,110,480,80,14.14213562,4,Medium Fast,1000000,1,75,0,0,0,0,0,2,1,1,1,0.5,0,0.5,1,1,1,0.5,2,2,1,2,2,1
479,Rotom,Electric,Ghost,['Levitate'],50,50,77,95,77,91,440,73.33333333,17.78263822,4,Medium Fast,1000000,1,45,0,0,0,0,0,1,1,0.5,1,1,0,0.5,2,0.5,1,0.5,1,2,1,2,0.5,1
479,Rotom-Wash,Electric,Water,['Levitate'],50,65,107,105,107,86,520,86.66666667,22.27604593,4,Medium Fast,1000000,1,45,0,0,0,0,1,0.5,0.5,1,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1
479,Rotom-Heat,Electric,Fire,['Levitate'],50,65,107,105,107,86,520,86.66666667,22.27604593,4,Medium Fast,1000000,1,45,0,0,0,0,1,0.5,2,0.5,0.5,0.5,1,1,4,0.5,1,0.5,2,1,1,1,0.25,0.5
479,Rotom-Mow,Electric,Grass,['Levitate'],50,65,107,105,107,86,520,86.66666667,22.27604593,4,Medium Fast,1000000,1,45,0,0,0,0,1,2,0.5,0.25,0.5,2,1,2,1,1,1,2,1,1,1,1,0.5,1
479,Rotom-Frost,Electric,Ice,['Levitate'],50,65,107,105,107,86,520,86.66666667,22.27604593,4,Medium Fast,1000000,1,45,0,0,0,0,1,2,1,0.5,1,0.5,2,1,2,0.5,1,1,2,1,1,1,1,1
479,Rotom-Fan,Electric,Flying,['Levitate'],50,65,107,105,107,86,520,86.66666667,22.27604593,4,Medium Fast,1000000,1,45,0,0,0,0,1,1,1,1,0.5,2,0.5,1,0,0.5,1,0.5,2,1,1,1,0.5,1
480,Uxie,Psychic,,['Levitate'],75,75,130,75,130,95,580,96.66666667,24.60803843,4,Slow,1250000,1,3,1,0,0,0,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
481,Mesprit,Psychic,,['Levitate'],80,105,105,105,105,80,580,96.66666667,11.78511302,4,Slow,1250000,1,3,1,0,0,0,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
482,Azelf,Psychic,,['Levitate'],75,125,70,125,70,115,580,96.66666667,25.27625148,4,Slow,1250000,1,3,1,0,0,0,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
483,Dialga,Steel,Dragon,"['Pressure', 'Telepathy']",100,120,120,150,100,90,680,113.3333333,19.72026594,4,Slow,1250000,1,3,1,0,0,0,0.5,1,0.5,0.5,0.25,1,2,0,2,0.5,0.5,0.5,0.5,1,1,1,0.5,1
484,Palkia,Water,Dragon,"['Pressure', 'Telepathy']",90,120,100,150,120,100,680,113.3333333,19.72026594,4,Slow,1250000,1,3,1,0,0,0,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2
485,Heatran,Fire,Steel,"['Flame Body', 'Flash Fire']",91,90,106,130,106,77,600,100,16.74315781,4,Slow,1250000,1,3,1,0,0,0,0.5,1,2,1,0.25,0.25,2,0,4,0.5,0.5,0.25,1,1,0.5,1,0.25,0.25
486,Regigigas,Normal,,['Slow Start'],110,160,110,80,110,100,670,111.6666667,24.09472049,4,Slow,1250000,1,3,1,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
487,Giratina,Ghost,Dragon,"['Pressure', 'Telepathy']",150,100,120,100,120,90,680,113.3333333,19.72026594,4,Slow,1250000,1,3,1,0,0,0,0,0.5,0.5,0.5,0.5,2,0,0.5,1,1,1,0.5,1,2,2,2,1,2
487,Giratina-Origin,Dragon,Ghost,['Pressure'],150,120,100,120,100,90,680,113.3333333,19.72026594,4,Slow,1250000,1,3,1,0,0,0,0,0.5,0.5,0.5,0.5,2,0,0.5,1,1,1,0.5,1,2,2,2,1,2
488,Cresselia,Psychic,,['Levitate'],120,70,120,75,130,85,600,100,23.97915762,4,Slow,1250000,1,3,1,0,0,0,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
489,Phione,Water,,['Hydration'],80,80,80,80,80,80,480,80,0,4,Slow,1250000,1,30,1,0,0,0,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
490,Manaphy,Water,,['Hydration'],100,100,100,100,100,100,600,100,0,4,Slow,1250000,1,3,1,0,0,0,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
491,Darkrai,Dark,,['Bad Dreams'],70,90,90,135,90,125,600,100,22.54624876,4,Slow,1250000,1,3,1,0,0,0,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
492,Shaymin,Grass,,['Natural Cure'],100,100,100,100,100,100,600,100,0,4,Medium Slow,1059860,1,45,1,0,0,0,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
492,Shaymin-Sky,Grass,Flying,['Serene Grace'],100,103,75,120,75,127,600,100,19.94993734,4,Medium Slow,1059860,1,45,1,0,0,0,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1
493,Arceus,Normal,,['Multitype'],120,120,120,120,120,120,720,120,0,4,Slow,1250000,1,3,1,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
494,Victini,Psychic,Fire,['Victory Star'],100,100,100,100,100,100,600,100,0,5,Slow,1250000,1,3,1,0,0,0,1,0.5,2,1,0.5,0.5,0.5,1,2,1,0.5,1,2,2,1,2,0.5,0.5
495,Snivy,Grass,,"['Contrary', 'Overgrow']",45,45,55,45,55,63,308,51.33333333,6.871842709,5,Medium Slow,1059860,0,45,0,0,0,0,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
496,Servine,Grass,,"['Contrary', 'Overgrow']",60,60,75,60,75,83,413,68.83333333,9.22707369,5,Medium Slow,1059860,0,45,0,0,0,0,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
497,Serperior,Grass,,"['Contrary', 'Overgrow']",75,75,95,75,95,113,528,88,14.31782106,5,Medium Slow,1059860,1,45,0,0,0,0,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
498,Tepig,Fire,,"['Blaze', 'Thick Fat']",65,63,45,45,45,45,308,51.33333333,8.975274679,5,Medium Slow,1059860,0,45,0,0,0,0,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
499,Pignite,Fire,Fighting,"['Blaze', 'Thick Fat']",90,93,55,70,55,55,418,69.66666667,16.34693311,5,Medium Slow,1059860,0,45,0,0,0,0,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
500,Emboar,Fire,Fighting,"['Blaze', 'Reckless']",110,123,65,100,65,65,528,88,23.94437999,5,Medium Slow,1059860,1,45,0,0,0,0,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
501,Oshawott,Water,,"['Shell Armor', 'Torrent']",55,55,45,63,45,45,308,51.33333333,6.871842709,5,Medium Slow,1059860,0,45,0,0,0,0,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
502,Dewott,Water,,"['Shell Armor', 'Torrent']",75,75,60,83,60,60,413,68.83333333,9.22707369,5,Medium Slow,1059860,0,45,0,0,0,0,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
503,Samurott,Water,,"['Shell Armor', 'Torrent']",95,100,85,108,70,70,528,88,14.43375673,5,Medium Slow,1059860,1,45,0,0,0,0,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
504,Patrat,Normal,,"['Analytic', 'Keen Eye', 'Run Away']",45,55,39,35,39,42,255,42.5,6.370504951,5,Medium Fast,1000000,0,255,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
505,Watchog,Normal,,"['Analytic', 'Illuminate', 'Keen Eye']",60,85,69,60,69,77,420,70,8.906926144,5,Medium Fast,1000000,1,255,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
506,Lillipup,Normal,,"['Pickup', 'Run Away', 'Vital Spirit']",45,60,45,25,45,55,275,45.83333333,10.9607887,5,Medium Slow,1059860,0,255,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
507,Herdier,Normal,,"['Intimidate', 'Sand Rush', 'Scrappy']",65,80,65,35,65,60,370,61.66666667,13.43709625,5,Medium Slow,1059860,0,120,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
508,Stoutland,Normal,,"['Intimidate', 'Sand Rush', 'Scrappy']",85,110,90,45,90,80,500,83.33333333,19.50783318,5,Medium Slow,1059860,1,45,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
509,Purrloin,Dark,,"['Limber', 'Prankster', 'Unburden']",41,50,37,50,37,66,281,46.83333333,10.12285643,5,Medium Fast,1000000,0,255,0,0,0,0,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
510,Liepard,Dark,,"['Limber', 'Prankster', 'Unburden']",64,88,50,88,50,106,446,74.33333333,21.08448613,5,Medium Fast,1000000,1,90,0,0,0,0,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
511,Pansage,Grass,,"['Gluttony', 'Overgrow']",50,53,48,53,48,64,316,52.66666667,5.467073156,5,Medium Fast,1000000,0,190,0,0,0,0,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
512,Simisage,Grass,,"['Gluttony', 'Overgrow']",75,98,63,98,63,101,498,83,16.52271164,5,Medium Fast,1000000,1,75,0,0,0,0,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
513,Pansear,Fire,,"['Blaze', 'Gluttony']",50,53,48,53,48,64,316,52.66666667,5.467073156,5,Medium Fast,1000000,0,190,0,0,0,0,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
514,Simisear,Fire,,"['Blaze', 'Gluttony']",75,98,63,98,63,101,498,83,16.52271164,5,Medium Fast,1000000,1,75,0,0,0,0,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
515,Panpour,Water,,"['Gluttony', 'Torrent']",50,53,48,53,48,64,316,52.66666667,5.467073156,5,Medium Fast,1000000,0,190,0,0,0,0,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
516,Simipour,Water,,"['Gluttony', 'Torrent']",75,98,63,98,63,101,498,83,16.52271164,5,Medium Fast,1000000,1,75,0,0,0,0,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
517,Munna,Psychic,,"['Forewarn', 'Synchronize', 'Telepathy']",76,25,45,67,55,24,292,48.66666667,19.60158724,5,Fast,800000,0,190,0,0,0,0,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
518,Musharna,Psychic,,"['Forewarn', 'Synchronize', 'Telepathy']",116,55,85,107,95,29,487,81.16666667,30.25677151,5,Fast,800000,1,75,0,0,0,0,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
519,Pidove,Normal,Flying,"['Big Pecks', 'Rivalry', 'Super Luck']",50,55,50,36,30,43,264,44,8.6986589,5,Medium Slow,1059860,0,255,0,0,0,0,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
520,Tranquill,Normal,Flying,"['Big Pecks', 'Rivalry', 'Super Luck']",62,77,62,50,42,65,358,59.66666667,11.14550233,5,Medium Slow,1059860,0,120,0,0,0,0,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
521,Unfezant,Normal,Flying,"['Big Pecks', 'Rivalry', 'Super Luck']",80,115,80,65,55,93,488,81.33333333,19.2930615,5,Medium Slow,1059860,1,45,0,0,0,0,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
522,Blitzle,Electric,,"['Lightning Rod', 'Motor Drive', 'Sap Sipper']",45,60,32,50,32,76,295,49.16666667,15.5179108,5,Medium Fast,1000000,0,190,0,0,0,0,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
523,Zebstrika,Electric,,"['Lightning Rod', 'Motor Drive', 'Sap Sipper']",75,100,63,80,63,116,497,82.83333333,19.36850249,5,Medium Fast,1000000,1,75,0,0,0,0,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
524,Roggenrola,Rock,,"['Sand Force', 'Sturdy', 'Weak Armor']",55,75,85,25,25,15,280,46.66666667,26.71869924,5,Medium Slow,1059860,0,255,0,0,0,0,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1
525,Boldore,Rock,,"['Sand Force', 'Sturdy', 'Weak Armor']",70,105,105,50,40,20,390,65,31.88521078,5,Medium Slow,1059860,0,120,0,0,0,0,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1
526,Gigalith,Rock,,"['Sand Force', 'Sand Stream', 'Sturdy']",85,135,130,60,80,25,515,85.83333333,38.23356582,5,Medium Slow,1059860,1,45,0,0,0,0,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1
527,Woobat,Psychic,Flying,"['Klutz', 'Simple', 'Unaware']",65,45,43,55,43,72,323,53.83333333,11.31984491,5,Medium Fast,1000000,0,190,0,0,0,0,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
528,Swoobat,Psychic,Flying,"['Klutz', 'Simple', 'Unaware']",67,57,55,77,55,114,425,70.83333333,20.85199164,5,Medium Fast,1000000,1,45,0,0,0,0,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
529,Drilbur,Ground,,"['Mold Breaker', 'Sand Force', 'Sand Rush']",60,85,40,30,45,68,328,54.66666667,18.45414738,5,Medium Fast,1000000,0,120,0,0,0,0,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
530,Excadrill,Ground,Steel,"['Mold Breaker', 'Sand Force', 'Sand Rush']",110,135,60,50,65,88,508,84.66666667,29.95366793,5,Medium Fast,1000000,1,60,0,0,0,0,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5
531,Audino,Normal,,"['Healer', 'Klutz', 'Regenerator']",103,60,86,60,86,50,445,74.16666667,18.69417616,5,Fast,800000,1,255,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
531,Mega Audino,Normal,Fairy,['Healer'],103,60,126,80,126,50,545,90.83333333,29.879852,6,Fast,800000,1,255,0,1,0,0,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
532,Timburr,Fighting,,"['Guts', 'Iron Fist', 'Sheer Force']",75,80,55,25,35,35,305,50.83333333,20.89989367,5,Medium Slow,1059860,0,180,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
533,Gurdurr,Fighting,,"['Guts', 'Iron Fist', 'Sheer Force']",85,105,85,40,50,40,405,67.5,25.28998484,5,Medium Slow,1059860,0,90,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
